date;feeToken0;feeToken1;feeV;fgV;feeUSD;activeLiquidity;amountV;amountTR;amountVlast;S1%;unb%;multiplier;feeunb
2023-07-13;0.008746083569149413;0.03347958801375966;0.010867972381861081;1.8906194670395536e-18;467.37182835036225;40.90909090909091;41.50848041518106;37.78671997116563;41.50848041518106;0.026182534925769756;5.00339661257249e-18;5232952122959535.0;2.0768339030234846e-18
2023-07-14;0.0019326849631318848;0.02258465641669614;0.003371575304109694;6.267273053174202e-19;144.99294430787216;43.47826086956522;42.1060558394191;37.990718629920224;42.1060558394191;0.0080073405995754;1.6496853124116232e-18;4853859423570741.0;6.946174188187335e-19
2023-07-15;0.00019705686253932632;0.0;0.00019705686253932632;6.258301111788214e-20;8.474333840570502;13.043478260869565;42.05071878038767;37.974576628566794;42.05071878038767;0.0004686171087073856;1.648023932696155e-19;2843509122714811.0;6.930059093715454e-20
2023-07-16;0.000322694286885319;0.0110715286328321;0.0010270656739393986;1.7994183192801975e-19;44.168456175516404;12.5;42.02294904260817;37.96623735064293;42.02294904260817;0.002444059013797508;4.739522388435276e-19;5156762250477308.0;1.9916870781551615e-19
2023-07-17;5.983682707548954e-07;0.01942567910807469;0.0012325548334002913;2.262998551480462e-19;53.005416814440125;28.571428571428573;42.03937906322629;37.97119024112753;42.03937906322629;0.0029319054202645483;5.959777760743861e-19;4919487836570951.0;2.5054535641649718e-19
2023-07-18;0.0008284695369647291;0.0039029918285982826;0.001075499240664226;2.0954345363627924e-19;46.251317986197165;31.818181818181817;41.94805162294096;37.94298185126872;41.94805162294096;0.00256388365860608;5.522587930955475e-19;4642540219658390.0;2.3166180361995095e-19
2023-07-19;0.00010101815183267152;0.013318802585232785;0.0009444244041190951;1.7008340161134436e-19;40.614508850661615;17.647058823529413;42.00303167291827;37.96016048970225;42.00303167291827;0.0022484672332069282;4.480576462722918e-19;5018254351674425.0;1.8819779507668283e-19
2023-07-20;0.0005127499911236309;0.003596687522959948;0.0007402729436178966;1.3785095695186468e-19;31.835075300196284;25.0;41.93151829628856;37.937702601430296;41.93151829628856;0.0017654331960677409;3.6336137272231013e-19;4858615495755872.0;1.5236294048470073e-19
2023-07-21;0.0;0.0;0.0;1.5609795447659538e-20;0.0;5.555555555555555;41.97305933303216;37.950868185005724;41.97305933303216;0.0;4.113158985339609e-20;0.0;1.7264186613785375e-20
2023-07-22;8.437393475663022e-08;0.0346249407473673;0.002176722912611605;3.898401280881142e-19;93.60890253800939;27.272727272727273;41.97575722776877;37.95171179023182;41.97575722776877;0.005185666814300159;1.027200380954761e-18;5048349777168298.0;4.311751381522864e-19
2023-07-23;0.0002299098462148168;1.440844829649777e-07;0.0002299188819204309;1.7608516905885715e-19;9.887548885822742;17.647058823529413;41.76702528544497;37.88248137951662;41.76702528544497;0.0005504794280873849;4.648195224985128e-19;1184286376631580.0;1.9414128749363843e-19
2023-07-24;0.002023594759927133;0.0;0.002023594759927133;4.2275503152072756e-19;87.02370134523643;36.8421052631579;41.79847257645438;37.893404103629855;41.79847257645438;0.004841312696835363;1.115642791987198e-18;4339482791092973.5;4.66321646459959e-19
2023-07-25;0.0003609810068129866;0.0;0.0003609810068129866;8.105152767816146e-20;15.523811362966406;27.77777777777778;41.975908657588334;37.95175909904438;41.975908657588334;0.0008599718704308002;2.1356461361023532e-19;4026752634218167.5;8.964568713396385e-20
2023-07-26;0.0004677093415723273;0.006676779229676229;0.0008913084136063075;1.6584774375396176e-19;38.3302816987749;29.41176470588235;42.010098407763756;37.96232562659046;42.010098407763756;0.0021216527629975453;4.36874561862445e-19;4856434657016199.0;1.8353143335689991e-19
2023-07-27;0.00030652169674877643;8.895713477434331e-06;0.00030708776581139026;7.611320432240691e-20;13.206158934562882;26.31578947368421;42.01137860027244;37.96271679569229;42.01137860027244;0.0007309633152800153;2.0049461879146552e-19;3645800170029951.0;8.423055337365554e-20
2023-07-28;0.0006092119743607237;9.186205321291117e-06;0.000609797466635527;1.4136602377667378e-19;26.224041329046905;50.0;42.02725015948146;37.96753920939867;42.02725015948146;0.0014509573296409332;3.7233391133676453e-19;3896925005921867.5;1.5648170434608395e-19
2023-07-29;0.00039508823684363036;0.0010851927685970844;0.00046437079605323226;1.1494477710601319e-19;19.970038601326156;18.181818181818183;42.08692775867825;37.98521177014121;42.08692775867825;0.001103361116582048;3.026040181151947e-19;3646220970410322.5;1.2735673449899963e-19
2023-07-30;0.0;0.006743561883801272;0.0004304331179314638;9.610602303498466e-20;18.510565378868368;15.0;42.10647454906817;37.9908383000722;42.10647454906817;0.0010222492444240726;2.5297157771536203e-19;4040964813740003.0;1.0651741298709511e-19
2023-07-31;0.00010425326854666329;0.005667088141097387;0.0004652541016574363;1.3176651707808197e-19;20.008024726126955;9.523809523809524;42.04317362149743;37.972326338437895;42.04317362149743;0.001106610328340065;3.4700670141639415e-19;3189017168323147.0;1.4589262995472578e-19
2023-08-01;0.0005380953261209027;0.026649714232691114;0.002224008753009323;4.01660361545635e-19;95.6424069402335;50.0;42.03021930512064;37.96843573212608;42.03021930512064;0.0052914516977987;1.0578796671514697e-18;5001941016644058.0;4.446291440880429e-19
2023-08-02;0.0006751588615541975;0.028110978468288722;0.0024448252021701928;4.261279921031239e-19;105.13851016427185;36.36363636363637;41.869245293028015;37.91736290067558;41.869245293028015;0.0058391909982129534;1.1238334090357628e-18;5195779864938272.0;4.7054056671418235e-19
