date;amountV;amount0;amount1;close;feeV;amountVlast;HODL;IL;ActiveLiq;feecumsum;PNL;HODLnorm;ILnorm;PNLnorm;feecumsumnorm
2023-05-25;0.06804657909302816;0.053849632496943904;0.2086357137318434;0.06804657909302818;1.0013402758861652e-06;0.0680621909383766;0.9999999999999999;-0.9319378090616233;65.0;1.0013402758861652e-06;-0.9319368077213473;1469.581591504953;-1369.5586486244194;-1369.557177073183;0.0014715512362747994
2023-05-26;0.0680621909383766;0.05398703516062755;0.20661758419691856;0.06812177110896138;3.067344267823527e-06;0.06808472364314219;0.9991265013364542;-0.931041777693312;88.88888888888889;4.068684543709692e-06;-0.9310377090087683;1468.297913948802;-1368.241857420138;-1368.2358781562311;0.005979263907076493
2023-05-27;0.06808531771585666;0.054192936279309205;0.2035975375443664;0.06823452584007864;2.3949424234891343e-07;0.06808381358008894;0.9978202480122071;-0.9297364344321182;68.18181818181819;4.308178786058605e-06;-0.9297321262533321;1466.3782681096463;-1366.3235489928927;-1366.3172177726558;0.006331220236903881
2023-05-28;0.06808378458705876;0.05417919751080888;0.2037988949379646;0.06822699936858033;9.230661991616116e-06;0.06799788954512608;0.997907307020505;-0.9299094174753789;90.9090909090909;1.3538840777674721e-05;-0.9298958786346012;1466.5062084256156;-1366.5777616889113;-1366.557865257734;0.019896431177187375
2023-05-29;0.06801079718800936;0.0535393438122936;0.2132013540467633;0.0678769299586231;1.5152876329746573e-06;0.06806557258911171;1.0019779071659003;-0.9339123345767886;77.27272727272727;1.5054128410649378e-05;-0.9338972804483779;1472.488287465666;-1372.460374973463;-1372.4382517034749;0.022123269988442044
2023-05-30;0.06806557070574498;0.0540169480709606;0.20617852755927468;0.0681381461061483;1.2171444861011446e-06;0.06812293962232144;0.9989365301505176;-0.9308135905281962;81.81818181818181;1.6271272896750523e-05;-0.9307973192552995;1468.0187357910334;-1367.9065177628663;-1367.8826057997471;0.023911963119418043
2023-05-31;0.06812295594736398;0.05453434084807618;0.1986009863497671;0.068421689887059;1.2536192483052786e-06;0.06817264562169839;0.995661473923259;-0.9274888283015605;76.19047619047619;1.7524892145055802e-05;-0.9274713034094155;1463.2057734483103;-1363.0205083984715;-1362.9947541395823;0.025754258889483756
2023-06-01;0.06819506147177559;0.05521213943743283;0.18872163605893366;0.06879403075060492;3.0401456963589667e-06;0.06827457182384991;0.9914017751094928;-0.9231272032856429;78.26086956521739;2.056503784141477e-05;-0.9231066382478015;1456.945798486244;-1356.6107445660314;-1356.5805225649913;0.030222001040345902
2023-06-02;0.06828636004425617;0.0561218085311909;0.1755464710716679;0.0692953349549193;2.8594914884555842e-06;0.06836390103808535;0.9857389997174912;-0.9173750986794059;83.33333333333333;2.3424529329870353e-05;-0.917351674150076;1448.6238880133315;-1348.1575575242948;-1348.1231332672019;0.03442425709284533
2023-06-03;0.06836396013035155;0.056949278627540977;0.16364449402220155;0.06975292123951293;4.359003520194555e-07;0.06836609850552264;0.9806411228248708;-0.9122750243193481;82.6086956521739;2.386042968188981e-05;-0.9122511638896662;1441.1321419761778;-1340.6625821294474;-1340.6275172812216;0.035064848225903646
