ID;Date;Date (Unix);Pool;Pool Tokens;Liquidity;Sqrt Price;Token0 Price;Token1 Price;Tick;Fee Growth Global 0 X128;Fee Growth Global 1 X128;TVL USD;Volume Token 0 (WBTC);Volume Token 1 (WETH);Volume USD;Fees USD;TX Count;Open (WBTC);High (WBTC);Low (WBTC);Close (WBTC);ETH Price CoinGecko;ETH Market Cap CoinGecko;ETH Volume CoinGecko;BTC Price CoinGecko;BTC Market Cap CoinGecko;BTC Volume CoinGecko
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-18779;2021-01-06;1622505600;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;1.177974835446519e+18;2.9629468855271027e+34;0.07150088;13.98584030742008;256,651;6,540,938,793,607,008,000,000,000,000,000;939,020,550,168,406,500,000,000,000,000,000,000,000,000;243396692.40418473;1036.04836519;14495.366769149814;37968417.765576944;113905.25329673082;400;0.07202491;0.07227083;0.07073907;0.07202491;1103.3582516225742;125112930227.72487;47148245967.40434;34082.20604904424;633651671519.3958;67420500715.520256
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-18809;2021-01-07;1625097600;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;5.294421671678379e+17;3.1524061710720713e+34;0.06316475;15.831613197202865;257,891;8,515,548,476,568,857,000,000,000,000,000;1,275,415,025,400,734,000,000,000,000,000,000,000,000,000;161401360.82633105;650.52633919;10218.564038732826;21866447.23265665;65599.34169796995;542;0.06475844;0.06475844;0.06292881;0.06475844;1208.5750928728885;137306782958.13135;47886847354.00142;36933.520137309126;682743683563.0741;71027195897.95125
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-18840;2021-01-08;1627776000;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;8.107287686138312e+17;3.127073541085742e+34;0.0641923;15.578190928836593;257,730;10,024,049,812,968,155,000,000,000,000,000;1,516,112,917,326,089,000,000,000,000,000,000,000,000,000;204949086.1265912;774.86780544;12315.753950892213;32114817.344813004;96344.452034439;441;0.06081559;0.0647439;0.06081559;0.06081559;1229.4713150147782;139084939665.71393;43042878463.81648;39547.08408135567;735339707368.3339;78642959829.4919
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-18871;2021-01-09;1630454400;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;4.9122232464071795e+17;2.8377286915928556e+34;0.07795023;12.82869780760888;255,788;11,439,105,745,853,083,000,000,000,000,000;1,684,314,015,483,689,000,000,000,000,000,000,000,000,000;328753039.71038973;1050.41661506;13941.104160391802;50312848.362795256;150938.54508838576;318;0.07250972;0.07795023;0.07250972;0.07250972;1223.7296883535275;139145700786.27826;48132624602.86217;40815.96185478254;758971014787.3597;82846468856.35208
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-18901;2021-01-10;1633046400;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;7.10470981828281e+17;3.025238042878413e+34;0.06858672;14.580081065891832;257,067;12,952,878,593,075,868,000,000,000,000,000;1,918,186,590,949,889,600,000,000,000,000,000,000,000,000;248298179.11584705;529.97924379;7721.118308879149;24395437.608686116;73186.31282605833;163;0.06858674;0.06941364;0.06795284;0.06858674;1282.979575527323;147397891905.5662;34851118090.66404;40296.5290038294;749347201462.6359;55921808671.54423
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-18932;2021-01-11;1635724800;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;6.002891691824233e+17;2.9739114419854204e+34;0.07097462;14.08954265455598;256,725;14,312,420,161,120,769,000,000,000,000,000;2,120,724,188,585,002,000,000,000,000,000,000,000,000,000;326480400.96982324;364.51427299;5186.767923114931;22369401.773239408;67108.20531971824;103;0.07005859;0.07101431;0.06938345;0.07005859;1267.7310031512136;144775179901.584;44541377224.12463;38397.895985418174;714078952009.0243;73381123612.69325
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-18962;2021-01-12;1638316800;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;5.640378500680039e+17;2.7990156633032294e+34;0.08012139;12.481060549410063;255,513;15,430,057,157,283,863,000,000,000,000,000;2,247,748,923,183,413,600,000,000,000,000,000,000,000,000;318283409.3772277;1533.81411688;18853.8730719616;88513724.35934643;265541.1730780393;195;0.08112178;0.08391701;0.07912012;0.08112178;1092.9143378806064;124728988376.03725;67107873698.86543;35669.90668663349;663380898829.0051;111691569520.10521
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-18780;2021-02-06;1622592000;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;8.223760948021332e+17;2.9548153152288387e+34;0.07189496;13.909179610537347;256,596;6,575,585,644,957,695,000,000,000,000,000;942,763,939,903,291,400,000,000,000,000,000,000,000,000;221562540.94053584;608.11074557;8416.688988610511;22736685.340381943;68210.05602114584;347;0.071509;0.07308902;0.07132768;0.071509;1724.8569083393102;196424150368.47876;39147540640.174576;38007.83222908396;706320162928.6615;47446256481.71452
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-18810;2021-02-07;1625184000;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;5.1218200337339814e+17;3.145541490720418e+34;0.06344075;15.762738421243885;257,847;8,576,427,209,288,192,000,000,000,000,000;1,284,334,775,099,388,000,000,000,000,000,000,000,000,000;168333308.70759377;655.24083194;10474.554367001632;21880705.47889714;65642.11643669143;580;0.06315932;0.06372243;0.06152467;0.06315932;1683.941297865053;192164042318.95844;36776919163.51647;39279.41286897885;732453192636.7231;57076868562.48764
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-18841;2021-02-08;1627862400;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;7.910680679747835e+17;3.068050633886752e+34;0.06668591;14.99567011799124;257,348;10,096,009,223,804,416,000,000,000,000,000;1,519,483,113,386,226,700,000,000,000,000,000,000,000,000;207612566.67543423;792.28918612;12101.343355767904;31421447.00495356;94264.34101486068;445;0.0641923;0.06678387;0.06393901;0.0641923;1608.6405479857196;184109385158.1494;38849634841.44165;38833.34026455532;723434796637.7434;53802559038.8092
