ID;Date;Date (Unix);Pool;Pool Tokens;Liquidity;Sqrt Price;Token0 Price;Token1 Price;Tick;Fee Growth Global 0 X128;Fee Growth Global 1 X128;TVL USD;Volume Token 0;Volume Token 1;Volume USD;Fees USD;TX Count;Open;High;Low;Close
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-19731;1/9/2024, 8:00:00 AM;1704758400;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;366,087,338,222,386,370;35,644,778,185,508,267,000,000,000,000,000,000;0.04940459;20.241032652560914969;260,348;37,668,904,748,912,136,000,000,000,000,000;5,711,311,335,083,901,000,000,000,000,000,000,000,000,000;315708202.507606971841516397;437.88964213;9020.807667843175610203;20926255.801523793643922511;62778.767404571380931767;67;0.0498431;0.0498431;0.0468787;0.0498431
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-19730;1/8/2024, 8:00:00 AM;1704672000;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;430,618,950,404,339,300;35,487,632,623,073,736,000,000,000,000,000,000;0.0498431;20.062954565331217969;260,260;37,595,150,687,808,876,000,000,000,000,000;5,693,884,343,480,159,000,000,000,000,000,000,000,000,000;317869513.30163352737019952;611.48611155;12198.201811677469055796;27892648.006355949802569302;83677.944019067849407707;321;0.0506221;0.05088114;0.04898565;0.0506221
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-19729;1/7/2024, 8:00:00 AM;1704585600;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;558,502,939,537,162,300;35,213,524,698,823,323,000,000,000,000,000,000;0.0506221;19.75421737589942698;260,105;37,534,085,754,289,860,000,000,000,000,000;5,678,182,193,231,057,000,000,000,000,000,000,000,000,000;300342193.607773579749932155;275.68422426;5430.300271566561797644;12152963.022245471793750202;36458.88906673641538125;122;0.05114235;0.05123575;0.05035122;0.05114235
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-19728;1/6/2024, 8:00:00 AM;1704499200;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;573,537,429,501,529,540;35,031,283,616,728,510,000,000,000,000,000,000;0.05115016;19.550277876133133225;260,001;37,515,121,512,768,548,000,000,000,000,000;5,672,090,032,888,636,000,000,000,000,000,000,000,000,000;302573922.823526095038771112;65.78570768;1285.776878215299175601;2875102.81035536781830354;8625.30843106610345491;66;0.05135675;0.05135675;0.05113818;0.05135675
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-19727;1/5/2024, 8:00:00 AM;1704412800;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;551,451,766,882,034,100;34,960,754,878,782,210,000,000,000,000,000,000;0.05135675;19.471635688233767468;259,961;37,509,578,894,880,590,000,000,000,000,000;5,670,420,887,319,468,000,000,000,000,000,000,000,000,000;297715545.680630248625222002;189.88117935;3690.24906678786206113;8301404.797945665665102277;24904.214393836996995306;103;0.05129256;0.05171725;0.05117986;0.05129256
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-19726;1/4/2024, 8:00:00 AM;1704326400;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;595,191,840,955,122,000;34,982,624,975,663,040,000,000,000,000,000,000;0.05129256;19.496004713272283848;259,973;37,493,971,795,596,910,000,000,000,000,000;5,667,460,752,057,298,000,000,000,000,000,000,000,000,000;308213993.244144693150701718;188.07270983;3645.403205707441746009;8250950.80699090291701506;24752.852420972708751045;134;0.05173164;0.05191356;0.05122159;0.05173164
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-19725;1/3/2024, 8:00:00 AM;1704240000;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;596,688,683,775,111,800;34,832,415,292,931,910,000,000,000,000,000,000;0.05173589;19.328938836523977871;259,887;37,483,856,921,828,003,000,000,000,000,000;5,663,450,316,013,652,000,000,000,000,000,000,000,000,000;298938250.854887978049791759;580.71701524;11116.384141742131016173;24814580.72639885199222868;74443.742179196555976686;197;0.05251103;0.05291254;0.05169336;0.05251103
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-19724;1/2/2024, 8:00:00 AM;1704153600;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;717,790,798,571,947,900;34,574,582,762,119,952,000,000,000,000,000,000;0.05251039;19.043848953979765673;259,738;37,450,488,119,685,755,000,000,000,000,000;5,653,736,589,009,163,000,000,000,000,000,000,000,000,000;317943854.702218078341781015;492.0623826;9328.82231111566735606;22223828.9074402475582816;66671.486722320742674844;335;0.05330532;0.05330532;0.0523344;0.05330532
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-19723;1/1/2024, 8:00:00 AM;1704067200;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;752,298,655,586,954,000;34,306,440,136,180,082,000,000,000,000,000,000;0.05333445;18.749605860017283948;259,583;37,425,538,649,767,774,000,000,000,000,000;5,645,504,473,568,792,000,000,000,000,000,000,000,000,000;314033016.735379844775729782;195.40143641;3641.205510307430820304;8460048.124653769171492322;25380.144373961307514476;163;0.05400634;0.05405336;0.05333445;0.05400634
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed-19722;12/31/2023, 8:00:00 AM;1703980800;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;WBTC / WETH;904,473,210,600,355,200;34,092,369,332,843,890,000,000,000,000,000,000;0.05400634;18.51634234593834405;259,458;37,421,820,620,433,917,000,000,000,000,000;5,642,010,292,769,331,000,000,000,000,000,000,000,000,000;302664027.849037601455234518;430.41658724;7961.644293321644267359;18202209.52928460725529233;54606.628587853821765876;206;0.0544076;0.0544076;0.05380572;0.0544076
