ID;Date;Date (Unix);Volume ETH;Volume USD;Volume USD Untracked;Feed USD;TX Count;TVL USD
18751;04/05/2021, 08:00:00;1620086400;0.0;0.0;0.0;0.0;54;0.0
18752;05/05/2021, 08:00:00;1620172800;4881.075212532278256285;16937182.154839435616100927;0.0;58451.088475823840280743;4,678;58451.088475823840280743
18753;06/05/2021, 08:00:00;1620259200;60092.912392534494821671;209792599.325349298812552862;0.0;640440.860829201016741935;30,385;640440.860829201016741935
18754;07/05/2021, 08:00:00;1620345600;100982.88517260302312262;351587666.854555223953081049;0.0;1082469.488636152721088084;66,006;1082469.488636152721088084
18755;08/05/2021, 08:00:00;1620432000;166211.943164711750856898;611251973.116235196800184393;0.0;2895458.269986012605882409;121,888;2895458.269986012605882409
18756;09/05/2021, 08:00:00;1620518400;119510.264482710152769182;464396482.53975024588258907;0.0;1870221.117281169807544918;167,008;1870221.117281169807544918
18757;10/05/2021, 08:00:00;1620604800;195595.889473851453916659;788345423.204635007198444829;0.0;3004460.173054299375318264;203,899;3004460.173054299375318264
18758;11/05/2021, 08:00:00;1620691200;159035.294992124203345797;628815232.574035732715805849;0.0;2393414.614548940379422216;233,636;2393414.614548940379422216
18759;12/05/2021, 08:00:00;1620777600;286572.528459219986391353;1185948395.173485070408273461;0.0;4351016.811893894740627738;262,441;4351016.811893894740627738
18760;13/05/2021, 08:00:00;1620864000;404793.639139078401951105;1535201935.176621961302233854;0.0;4912513.417053592431397196;292,916;4912513.417053592431397196
18761;14/05/2021, 08:00:00;1620950400;205915.133181467653099258;820163744.379868308022442431;0.0;2616856.632555444424338959;319,332;2616856.632555444424338959
18762;15/05/2021, 08:00:00;1621036800;216472.261014031409306751;834932523.021444953048278305;0.0;2789161.664042543365196165;348,644;2789161.664042543365196165
18763;16/05/2021, 08:00:00;1621123200;318028.298111331230146128;1142729897.745995081255188264;0.0;3644630.043764301450037856;380,905;3644630.043764301450037856
18764;17/05/2021, 08:00:00;1621209600;427656.140967016922757304;1435847105.600000806172275799;0.0;4107956.857688956429460823;413,310;4107956.857688956429460823
18765;18/05/2021, 08:00:00;1621296000;354475.78673410977898619;1208124293.662246530106080284;0.0;3198768.623829146470742895;444,724;3198768.623829146470742895
18766;19/05/2021, 08:00:00;1621382400;953940.653083007813438652;2620631938.828709997878876976;0.0;7152404.950824860823294529;478,399;7152404.950824860823294529
18767;20/05/2021, 08:00:00;1621468800;659801.024931679478097347;1762314761.1010555079275785;0.0;5073564.701839484105789742;510,320;5073564.701839484105789742
