Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-05-24 00:00:00,1854.2996826171875,1854.2996826171875,1847.9117431640625,1849.5799560546875,0,0.0,0.0
2023-05-24 01:00:00,1849.9051513671875,1850.7691650390625,1845.9049072265625,1845.9049072265625,0,0.0,0.0
2023-05-24 02:00:00,1845.5128173828125,1847.8369140625,1844.7520751953125,1846.443115234375,0,0.0,0.0
2023-05-24 03:00:00,1846.2281494140625,1846.48681640625,1815.8970947265625,1821.9249267578125,0,0.0,0.0
2023-05-24 04:00:00,1822.49462890625,1827.1900634765625,1818.920166015625,1827.1900634765625,8793088,0.0,0.0
2023-05-24 05:00:00,1827.4945068359375,1828.6524658203125,1824.6165771484375,1826.2203369140625,30443520,0.0,0.0
2023-05-24 06:00:00,1826.2872314453125,1826.2872314453125,1818.8814697265625,1818.8814697265625,0,0.0,0.0
2023-05-24 07:00:00,1820.947021484375,1823.3974609375,1815.486572265625,1815.486572265625,2271744,0.0,0.0
2023-05-24 08:00:00,1814.49267578125,1818.0574951171875,1814.49267578125,1818.0574951171875,30465536,0.0,0.0
2023-05-24 09:00:00,1818.51904296875,1820.866943359375,1816.093505859375,1817.10986328125,14802432,0.0,0.0
2023-05-24 10:00:00,1817.0784912109375,1817.11474609375,1814.136474609375,1816.0723876953125,0,0.0,0.0
2023-05-24 11:00:00,1815.7003173828125,1817.205078125,1812.076904296875,1814.625244140625,60716544,0.0,0.0
2023-05-24 12:00:00,1815.653564453125,1817.96630859375,1814.851806640625,1817.0997314453125,0,0.0,0.0
2023-05-24 13:00:00,1816.520263671875,1817.646484375,1794.3193359375,1801.2073974609375,88408064,0.0,0.0
2023-05-24 14:00:00,1802.761962890625,1802.761962890625,1780.925537109375,1786.5509033203125,421562880,0.0,0.0
2023-05-24 15:00:00,1786.7469482421875,1794.9244384765625,1781.8466796875,1792.9129638671875,277602304,0.0,0.0
2023-05-24 16:00:00,1792.9259033203125,1793.3560791015625,1785.2469482421875,1788.8271484375,29451776,0.0,0.0
2023-05-24 17:00:00,1788.823486328125,1794.91552734375,1785.5545654296875,1793.06005859375,54949376,0.0,0.0
2023-05-24 18:00:00,1792.5379638671875,1793.2852783203125,1787.080322265625,1788.8824462890625,0,0.0,0.0
2023-05-24 19:00:00,1788.082275390625,1797.198486328125,1786.1405029296875,1791.654052734375,65914368,0.0,0.0
2023-05-24 20:00:00,1792.3790283203125,1807.8507080078125,1791.6099853515625,1805.2529296875,214834688,0.0,0.0
2023-05-24 21:00:00,1804.3721923828125,1808.2452392578125,1794.6748046875,1799.8311767578125,122163712,0.0,0.0
2023-05-24 22:00:00,1799.6900634765625,1803.0501708984375,1798.254150390625,1798.9244384765625,31397888,0.0,0.0
2023-05-24 23:00:00,1798.8812255859375,1803.0037841796875,1798.6683349609375,1800.3399658203125,0,0.0,0.0
2023-05-25 00:00:00,1799.84521484375,1805.0662841796875,1791.6068115234375,1791.6068115234375,170524672,0.0,0.0
