Date,Liquidity,Token0 Price,Token1 Price,Tick,TVL USD,Volume Token 0,Volume Token 1,Volume USD,Fees USD,TX Count,Open,High,Low,Close,Target0,Target1
"5/4/2021, 8:00:00 AM",34777181970750,0.06218264,16.08165650996577,258048,0.0,0.00186388,0.03,0.0,0.0,10,0.0,0.0623615,0.0,0.0,0.06145184,16.272904699276012
"5/5/2021, 8:00:00 AM",58107907112361704,0.06145184,16.272904699276012,258166,8760155.104262972,8.6328427,142.06627499425963,492532.4489385855,1477.5973468157565,93,0.06218264,0.06218264,0.05962991,0.06218264,0.06208447,16.107085761152355
"5/6/2021, 8:00:00 AM",103357834300594400,0.06208447,16.107085761152355,258064,34598198.321847394,132.0575394,2145.953858237057,7507953.765040102,22523.861295120307,385,0.06144842,0.06264772,0.05978175,0.06144842,0.06052212,16.52288361651265
"5/7/2021, 8:00:00 AM",123663143553149390,0.06052212,16.52288361651265,258318,45080249.13563144,191.9184649,3141.8869512895762,10970518.220937356,32911.554662812065,317,0.06208447,0.06208447,0.06027593,0.06208447,0.06628512,15.08634129163742
"5/8/2021, 8:00:00 AM",140576450677868030,0.06628512,15.08634129163742,257409,53072936.29120249,396.72040868,6318.655938257618,23273349.19535532,69820.04758606596,238,0.06052212,0.06666959,0.06010105,0.06052212,0.06715131,14.891741067347207
"5/9/2021, 8:00:00 AM",167116742785215070,0.06715131,14.891741067347207,257279,61029766.66188722,416.32379537,6224.605173810712,24152045.916809928,72456.13775042979,244,0.06616022,0.06840248,0.06533671,0.06616022,0.07056814,14.17069916550758
"5/10/2021, 8:00:00 AM",121625717122077470,0.07056814,14.17069916550758,256783,63394856.16052079,1021.23576537,14435.839874304202,58173223.6394599,174519.6709183797,325,0.06710601,0.07379422,0.06643569,0.06710601,0.07290026,13.717371276684013
"5/11/2021, 8:00:00 AM",277820221410610340,0.07290026,13.717371276684013,256457,124976539.10457768,421.9333966,5918.84204588793,23573775.09829909,70721.32529489727,168,0.07056814,0.07290026,0.06944329,0.07056814,0.07779877,12.85367219948684
"5/12/2021, 8:00:00 AM",2653184717121261000,0.07779877,12.85367219948684,255807,220444809.79905733,3784.08448011,49332.88804032184,202273881.41377017,606821.6442413105,444,0.07310395,0.07899183,0.07273325,0.07310395,0.07500527,13.332395591811796
"5/13/2021, 8:00:00 AM",344752147358141500,0.07500527,13.332395591811796,256173,228587443.25421816,6346.31142376,82666.4050036858,314647925.4237438,943943.7762712312,811,0.07779446,0.07903069,0.07433821,0.07779446,0.08170084,12.239774910075838
"5/14/2021, 8:00:00 AM",1736354545983243800,0.08170084,12.239774910075838,255318,127461839.82274891,4036.00965452,50873.64125101672,204538853.03332713,613616.5590999813,508,0.07511291,0.08170084,0.07511291,0.07511291,0.07813646,12.798121719363897
"5/15/2021, 8:00:00 AM",432113672939670300,0.07813646,12.798121719363897,255764,125999171.40811384,1620.24895642,20452.297989774044,79526527.48284627,238579.5824485388,387,0.08170759,0.08177492,0.07690173,0.08170759,0.07737667,12.923790610147247
"5/16/2021, 8:00:00 AM",451890660300326600,0.07737667,12.923790610147247,255862,127499827.55368516,1510.75972079,19666.002878442767,70906068.81226815,212718.20643680444,533,0.07811627,0.07955422,0.07516553,0.07811627,0.07533897,13.27334143153247
"5/17/2021, 8:00:00 AM",602854237499376600,0.07533897,13.27334143153247,256128,127003626.0960954,2520.32675975,33159.09920627984,110805692.22278248,332417.07666834746,613,0.0772845,0.07791537,0.07416013,0.0772845,0.07866471,12.712180299571141
"5/18/2021, 8:00:00 AM",815858642571814000,0.07866471,12.712180299571141,255696,134825471.11476535,1697.9343163,21896.530309248683,74860709.38247515,224582.1281474254,437,0.07529866,0.07929473,0.07522514,0.07529866,0.06695915,14.934477849044336
"5/19/2021, 8:00:00 AM",172025642853599140,0.06695915,14.934477849044336,257308,111787741.56101136,5424.73829116,75495.10029265827,205396378.817488,616189.136452464,1035,0.07866572,0.07922684,0.06601669,0.07866572,0.06807398,14.68989879656826
"5/20/2021, 8:00:00 AM",343236065535061800,0.06807398,14.68989879656826,257142,150872752.0344645,3213.58519952,48584.31015324849,124821896.3242892,374465.6889728676,926,0.06693907,0.07002774,0.06096098,0.06693907,0.06505398,15.371849399215064
"5/21/2021, 8:00:00 AM",298776370697237060,0.06505398,15.371849399215064,257596,107638875.35120754,2284.79806752,34480.398574243634,87368570.13438979,262105.71040316945,734,0.06815664,0.06984879,0.06323382,0.06815664,0.0613566,16.298164667473163
"5/22/2021, 8:00:00 AM",382743371393341500,0.0613566,16.298164667473163,258181,104064538.31055272,1744.81817485,27872.4602198426,65210800.89708343,195632.4026912503,702,0.06505491,0.06538937,0.06021662,0.06505491,0.06061884,16.49652062637662
"5/23/2021, 8:00:00 AM",334204758914780900,0.06061884,16.49652062637662,258302,115855735.9657588,3329.7508122,55911.313289154736,114639869.34780188,343919.6080434057,937,0.06090539,0.0622409,0.05607973,0.06090539,0.06775628,14.758778778680417
"5/24/2021, 8:00:00 AM",1084766789100878700,0.06775628,14.758778778680417,257189,184712926.08283588,4873.09409546,75515.80205693966,183089680.41827905,549269.0412548372,993,0.06061757,0.06775628,0.06003629,0.06061757,0.07003214,14.279158110869828
"5/25/2021, 8:00:00 AM",3238325400074046000,0.07003214,14.279158110869828,256859,222976274.49215,4847.43706418,71618.53354750552,184126859.6192376,552380.5788577127,1107,0.06775823,0.07006291,0.06550977,0.06775823,0.07310479,13.678993143552704
"5/26/2021, 8:00:00 AM",645139520777082400,0.07310479,13.678993143552704,256429,195680135.85990465,6225.30208108,87983.27016400537,244961343.29182583,734884.0298754774,1070,0.07003512,0.07310479,0.06979832,0.07003512,0.07144111,13.997541048511279
"5/27/2021, 8:00:00 AM",1088618463421011700,0.07144111,13.997541048511279,256660,232478566.41142607,1537.21942027,21458.83721013923,59047372.96354796,177142.11889064388,476,0.07313681,0.07313985,0.07084035,0.07313681,0.06793065,14.72089403318204
"5/28/2021, 8:00:00 AM",873068424386626200,0.06793065,14.72089403318204,257164,215620426.7785268,2215.96963125,31866.02349716884,80147623.30884862,240442.8699265459,562,0.07143879,0.07155976,0.06742436,0.07143879,0.06602832,15.145014354375036
"5/29/2021, 8:00:00 AM",834581667403561300,0.06602832,15.145014354375036,257448,211525471.03673357,2357.66572581,35221.354097786025,81936845.90306482,245810.53770919444,459,0.06787348,0.0695374,0.06381028,0.06787348,0.06722184,14.87611649359232
"5/30/2021, 8:00:00 AM",864927080197022000,0.06722184,14.87611649359232,257268,219799203.52616584,1428.90750524,21343.26190838473,50462263.71843856,151386.79115531567,418,0.06602832,0.06805229,0.06542311,0.06602832,0.07202491,13.884083502938072
"5/31/2021, 8:00:00 AM",882797688140747100,0.07202491,13.884083502938072,256578,243372021.46002504,1613.91298413,23305.509932176577,58554347.44193578,175663.04232580733,519,0.06718806,0.07203496,0.06640718,0.06718806,0.07150088,13.98584030742008
"6/1/2021, 8:00:00 AM",1177974835446519000,0.07150088,13.98584030742008,256651,243396692.40418473,1036.04836519,14495.366769149814,37968417.765576944,113905.25329673082,400,0.07202491,0.07227083,0.07073907,0.07202491,0.07189496,13.909179610537347
"6/2/2021, 8:00:00 AM",822376094802133200,0.07189496,13.909179610537347,256596,221562540.94053584,608.11074557,8416.688988610511,22736685.340381943,68210.05602114584,347,0.071509,0.07308902,0.07132768,0.071509,0.07282702,13.731167298589645
"6/3/2021, 8:00:00 AM",978079783704200100,0.07282702,13.731167298589645,256468,246159454.0187111,637.4794283,8777.131355864156,24578852.715353165,73736.55814605948,391,0.07189601,0.07322464,0.07189391,0.07189601,0.07301602,13.695622968839247
"6/4/2021, 8:00:00 AM",1193869118748918300,0.07301602,13.695622968839247,256442,239683313.29234472,733.95845297,10139.27496584256,27212781.50293081,81638.34450879243,391,0.07282665,0.07316942,0.07166078,0.07282665,0.0736175,13.583725126695338
"6/5/2021, 8:00:00 AM",1156800799010105600,0.0736175,13.583725126695338,256360,226975359.5216193,798.14847427,10833.60339111007,29070885.424621057,87212.65627386316,372,0.07301587,0.07441684,0.07296724,0.07301587,0.07557246,13.232332493182495
"6/6/2021, 8:00:00 AM",1400125221331776800,0.07557246,13.232332493182495,256097,228949917.4485129,704.22019484,9407.588021163536,25380565.536527295,76141.6966095819,426,0.07362545,0.07557246,0.07362545,0.07362545,0.07702194,12.983313375985375
"6/7/2021, 8:00:00 AM",1226246042686818600,0.07702194,12.983313375985375,255907,179077160.56440765,1069.43362136,13974.445653862473,38275744.61161528,114827.23383484584,430,0.07557246,0.07724218,0.07557246,0.07557246,0.07527159,13.285224618528003
