Date,Close (WBTC)
2021-01-06,0.07202491
2021-01-07,0.06475844
2021-01-08,0.06081559
2021-01-09,0.07250972
2021-01-10,0.06858674
2021-01-11,0.07005859
2021-01-12,0.08112178
2021-01-13,0.08112178
2021-01-14,0.08112178
2021-01-15,0.08112178
2021-01-16,0.08112178
2021-01-17,0.08112178
2021-01-18,0.08112178
2021-01-19,0.08112178
2021-01-20,0.08112178
2021-01-21,0.08112178
2021-01-22,0.08112178
2021-01-23,0.08112178
2021-01-24,0.08112178
2021-01-25,0.08112178
2021-01-26,0.08112178
2021-01-27,0.08112178
2021-01-28,0.08112178
2021-01-29,0.08112178
2021-01-30,0.08112178
2021-01-31,0.08112178
2021-02-01,0.08112178
2021-02-02,0.08112178
2021-02-03,0.08112178
2021-02-04,0.08112178
2021-02-05,0.08112178
2021-02-06,0.071509
2021-02-07,0.06315932
2021-02-08,0.0641923
2021-02-09,0.07801713
2021-02-10,0.0685998
2021-02-11,0.07092746
2021-02-12,0.08012139
2021-02-13,0.08012139
2021-02-14,0.08012139
2021-02-15,0.08012139
2021-02-16,0.08012139
2021-02-17,0.08012139
2021-02-18,0.08012139
2021-02-19,0.08012139
2021-02-20,0.08012139
2021-02-21,0.08012139
2021-02-22,0.08012139
2021-02-23,0.08012139
2021-02-24,0.08012139
2021-02-25,0.08012139
2021-02-26,0.08012139
2021-02-27,0.08012139
2021-02-28,0.08012139
2021-03-01,0.08012139
2021-03-02,0.08012139
2021-03-03,0.08012139
2021-03-04,0.08012139
2021-03-05,0.08012139
2021-03-06,0.07189601
2021-03-07,0.06345813
2021-03-08,0.06668591
2021-03-09,0.07670575
2021-03-10,0.07108169
2021-03-11,0.0726948
2021-03-12,0.07998381
2021-03-13,0.07998381
2021-03-14,0.07998381
2021-03-15,0.07998381
2021-03-16,0.07998381
2021-03-17,0.07998381
2021-03-18,0.07998381
2021-03-19,0.07998381
2021-03-20,0.07998381
2021-03-21,0.07998381
2021-03-22,0.07998381
2021-03-23,0.07998381
2021-03-24,0.07998381
2021-03-25,0.07998381
2021-03-26,0.07998381
2021-03-27,0.07998381
2021-03-28,0.07998381
2021-03-29,0.07998381
2021-03-30,0.07998381
2021-03-31,0.07998381
2021-04-01,0.07998381
2021-04-02,0.07998381
2021-04-03,0.07998381
2021-04-04,0.07998381
2021-04-05,0.0
2021-04-06,0.07282665
2021-04-07,0.06403138
2021-04-08,0.06555279
2021-04-09,0.0783865
2021-04-10,0.07094829
2021-04-11,0.07320061
2021-04-12,0.07888189
2021-04-13,0.07888189
2021-04-14,0.07888189
2021-04-15,0.07888189
2021-04-16,0.07888189
2021-04-17,0.07888189
2021-04-18,0.07888189
2021-04-19,0.07888189
2021-04-20,0.07888189
2021-04-21,0.07888189
2021-04-22,0.07888189
2021-04-23,0.07888189
2021-04-24,0.07888189
2021-04-25,0.07888189
2021-04-26,0.07888189
2021-04-27,0.07888189
2021-04-28,0.07888189
2021-04-29,0.07888189
2021-04-30,0.07888189
2021-05-01,0.07888189
2021-05-02,0.07888189
2021-05-03,0.07888189
2021-05-04,0.07888189
2021-05-05,0.06218264
2021-05-06,0.07301587
2021-05-07,0.06575908
2021-05-08,0.06868798
2021-05-09,0.07760245
2021-05-10,0.06896327
2021-05-11,0.07365709
2021-05-12,0.08334482
2021-05-13,0.07779446
2021-05-14,0.07511291
2021-05-15,0.08170759
2021-05-16,0.07811627
2021-05-17,0.0772845
2021-05-18,0.07529866
2021-05-19,0.07866572
2021-05-20,0.06693907
2021-05-21,0.06815664
2021-05-22,0.06505491
2021-05-23,0.06090539
2021-05-24,0.06061757
2021-05-25,0.06775823
2021-05-26,0.07003512
2021-05-27,0.07313681
2021-05-28,0.07143879
2021-05-29,0.06787348
2021-05-30,0.06602832
2021-05-31,0.06718806
2021-06-01,0.06718806
2021-06-02,0.06718806
2021-06-03,0.06718806
2021-06-04,0.06718806
2021-06-05,0.06144842
2021-06-06,0.07362545
2021-06-07,0.06541602
2021-06-08,0.06903799
2021-06-09,0.07625471
2021-06-10,0.06841052
2021-06-11,0.07334668
2021-06-12,0.08468426
2021-06-13,0.06683273
2021-06-14,0.06441238
2021-06-15,0.06369425
2021-06-16,0.0635392
2021-06-17,0.0616989
2021-06-18,0.06217726
2021-06-19,0.06227623
2021-06-20,0.06126548
2021-06-21,0.06310109
2021-06-22,0.05987812
2021-06-23,0.05763159
2021-06-24,0.05844115
2021-06-25,0.05731724
2021-06-26,0.05742921
2021-06-27,0.05664865
2021-06-28,0.05738368
2021-06-29,0.06055212
2021-06-30,0.06046645
2021-07-01,0.06046645
2021-07-02,0.06046645
2021-07-03,0.06046645
2021-07-04,0.06046645
2021-07-05,0.06208447
2021-07-06,0.07557246
2021-07-07,0.06791351
2021-07-08,0.06757469
2021-07-09,0.07465249
2021-07-10,0.06489755
2021-07-11,0.0733617
2021-07-12,0.08596414
2021-07-13,0.06150514
2021-07-14,0.05952994
2021-07-15,0.06076112
2021-07-16,0.0603163
2021-07-17,0.05961638
2021-07-18,0.0601783
2021-07-19,0.05971798
2021-07-20,0.05908753
2021-07-21,0.06008401
2021-07-22,0.06186054
2021-07-23,0.06244598
2021-07-24,0.0632621
2021-07-25,0.06364445
2021-07-26,0.0621502
2021-07-27,0.05992532
2021-07-28,0.05865086
