Date;Close (WBTC);Predicted Close (WBTC);Conditional Volatility
2023-05-25;0.06803922;0.06793664256812511;0.001167453765508373
2023-05-26;0.06812177;0.06802452312580283;0.0011577730289057807
2023-05-27;0.06823227;0.06827227809154661;0.0011463530080799056
2023-05-28;0.06822712;0.06816558095524893;0.0011294008351780175
2023-05-29;0.06782604;0.06818971459378721;0.0011228627529473961
2023-05-30;0.06813814;0.0679301172645726;0.0011494165541276605
2023-05-31;0.06842162;0.06810121296076632;0.001132608380139979
2023-06-01;0.06867629;0.06837124993852431;0.0011299785329335784
2023-06-02;0.06922852;0.06867911846876484;0.0011273703917162796
2023-06-03;0.06975275;0.06922010687233762;0.0011397898866473942
2023-06-04;0.069766;0.06960296935205429;0.0011481103617803526
2023-06-05;0.06970758;0.06974375060487714;0.0011372319230009773
2023-06-06;0.07029771;0.06973165419973532;0.0011428031596499536
2023-06-07;0.06932147;0.07036284050438123;0.001158905778683598
2023-06-08;0.06966311;0.0693761999162526;0.0012268709635712969
2023-06-09;0.06963367;0.06971660303271367;0.001209398666763721
2023-06-10;0.06932256;0.06959548394203617;0.0011886976689713233
2023-06-11;0.0676967;0.06930649600488235;0.0011776661462913733
2023-06-12;0.06780649;0.0679386781949959;0.0013651287658877054
2023-06-13;0.06730315;0.06757615358614248;0.0013139559698045439
2023-06-14;0.06712871;0.06731650935779776;0.0012666092666903804
2023-06-15;0.06587589;0.067132077168692;0.001231873584762405
2023-06-16;0.06528658;0.0660436826425515;0.0013411705265021462
2023-06-17;0.06525582;0.06503974058820464;0.0013422426229655058
2023-06-18;0.0653287;0.06532935495222637;0.0012917116988424996
2023-06-19;0.06536563;0.06500033643879181;0.0012364908541171408
2023-06-20;0.06477358;0.06552607210242672;0.0012159580675385644
2023-06-21;0.06332227;0.06482090327451756;0.0012680649974668237
2023-06-22;0.0627457;0.0633056257527829;0.0013500269672322093
2023-06-23;0.06272969;0.06274404152041096;0.001325864757297901
2023-06-24;0.06171394;0.06287187745279943;0.001319522155975097
2023-06-25;0.06164216;0.06205864654731074;0.0013719796188972908
2023-06-26;0.06221829;0.06196038376242319;0.0013283927678633348
2023-06-27;0.06162257;0.06228222809615054;0.001287176034907314
2023-06-28;0.06189232;0.06187184571088751;0.001280104910533019
2023-06-29;0.06103403;0.06225063895541737;0.0012420859183875238
2023-06-30;0.0609011;0.06114258585861944;0.0013240071732145784
2023-07-01;0.06335639;0.06104025809485484;0.0012658139726705363
2023-07-02;0.06296709;0.06363940519164696;0.0015935880984899822
2023-07-03;0.06332802;0.0631031093890389;0.001513779681088656
2023-07-04;0.0629367;0.06383969776847259;0.0014437905101094492
2023-07-05;0.06298147;0.06296081440053453;0.0014301927039488684
2023-07-06;0.06275672;0.06285763076154252;0.0013487705522990119
2023-07-07;0.06198393;0.06334207569723836;0.001310305003240132
2023-07-08;0.06177702;0.062079753697626236;0.0013990790885099764
2023-07-09;0.06150136;0.062454542014677636;0.0013897875564333419
2023-07-10;0.06177887;0.06161513295836785;0.0013244278725144379
2023-07-11;0.06186546;0.06199479028077307;0.0012637827608325217
2023-07-12;0.06130122;0.062076070136778363;0.0012269484201445726
2023-07-13;0.0616954;0.06142703254320231;0.001252670626361811
2023-07-14;0.06361478;0.061850291506366985;0.0012172492848373725
2023-07-15;0.06373159;0.06362145733659391;0.0014044294271873118
2023-07-16;0.0635992;0.06399929217628834;0.001337626032285406
2023-07-17;0.06369046;0.0639613878526581;0.0013149956891311406
