,periodStartUnix,liquidity,high,low,pool,close,feeGrowthGlobal0X128,feeGrowthGlobal1X128
0,1641553200,2289913061325373447,0.4675337740961448202746730104831954,0.4626603569815979006984586307480838,"{'id': '0x9b08288c3be4f62bbf8d1c20ac9c5e6f9467d8b7', 'totalValueLockedUSD': '2619036.900309908219668059680743294', 'totalValueLockedToken1': '1147630.627934', 'totalValueLockedToken0': '1695131.47431161728021922', 'token0': {'decimals': '18'}, 'token1': {'decimals': '6'}}",0.4672549850536639616430755618251039,1097325458463251217634281147080125088235473,2746629063586074727157369411994
1,1641556800,2416090802450398476,0.4672531760881942488586258721333343,0.4581623930585079977464317298184863,"{'id': '0x9b08288c3be4f62bbf8d1c20ac9c5e6f9467d8b7', 'totalValueLockedUSD': '2619036.900309908219668059680743294', 'totalValueLockedToken1': '1147630.627934', 'totalValueLockedToken0': '1695131.47431161728021922', 'token0': {'decimals': '18'}, 'token1': {'decimals': '6'}}",0.4613874243117499442280104171056405,1100390866112924100379961399817174091664758,2754963103613429317204484393311
2,1641560400,1780061745525887857,0.4764822441289015598235736364571404,0.4586137423554218838277496977434231,"{'id': '0x9b08288c3be4f62bbf8d1c20ac9c5e6f9467d8b7', 'totalValueLockedUSD': '2619036.900309908219668059680743294', 'totalValueLockedToken1': '1147630.627934', 'totalValueLockedToken0': '1695131.47431161728021922', 'token0': {'decimals': '18'}, 'token1': {'decimals': '6'}}",0.4727683955469623645445630572731271,1107658946842340282232815848001052748658971,2767291371060690278024772469034
3,1641564000,2283547951557198161,0.474881290163063310676230273899096,0.4627821477324666187553704946447488,"{'id': '0x9b08288c3be4f62bbf8d1c20ac9c5e6f9467d8b7', 'totalValueLockedUSD': '2619036.900309908219668059680743294', 'totalValueLockedToken1': '1147630.627934', 'totalValueLockedToken0': '1695131.47431161728021922', 'token0': {'decimals': '18'}, 'token1': {'decimals': '6'}}",0.4648807051955074171091965118577843,1113148992597146774927490026906815807095467,2781185690178040501248443306030
4,1641567600,1531811923990748231,0.4830058222922853125624159698250468,0.4649364719598072577607809642028874,"{'id': '0x9b08288c3be4f62bbf8d1c20ac9c5e6f9467d8b7', 'totalValueLockedUSD': '2619036.900309908219668059680743294', 'totalValueLockedToken1': '1147630.627934', 'totalValueLockedToken0': '1695131.47431161728021922', 'token0': {'decimals': '18'}, 'token1': {'decimals': '6'}}",0.4781916969976678855002216636734639,1121628010931008903972568898141318219292166,2795885127633869419164114464575
5,1641571200,2537241133819771781,0.4852336064030114971348063256849473,0.4667565285444833361014628545506474,"{'id': '0x9b08288c3be4f62bbf8d1c20ac9c5e6f9467d8b7', 'totalValueLockedUSD': '2619036.900309908219668059680743294', 'totalValueLockedToken1': '1147630.627934', 'totalValueLockedToken0': '1695131.47431161728021922', 'token0': {'decimals': '18'}, 'token1': {'decimals': '6'}}",0.4669623240640688424248267522955808,1127445195123264911284340624956141114126333,2810825641829845404153315404671
6,1641574800,2555824233877100717,0.474623958739461788270632244796104,0.4679933959000272500894219199762515,"{'id': '0x9b08288c3be4f62bbf8d1c20ac9c5e6f9467d8b7', 'totalValueLockedUSD': '2619036.900309908219668059680743294', 'totalValueLockedToken1': '1147630.627934', 'totalValueLockedToken0': '1695131.47431161728021922', 'token0': {'decimals': '18'}, 'token1': {'decimals': '6'}}",0.4697331233361430364907089133957397,1130106098902072938261706224662693039620249,2815686024870370782053648818249
7,1641578400,1823917721245260133,0.4780935395100233148692416383256166,0.4691697028338871562370942995953532,"{'id': '0x9b08288c3be4f62bbf8d1c20ac9c5e6f9467d8b7', 'totalValueLockedUSD': '2619036.900309908219668059680743294', 'totalValueLockedToken1': '1147630.627934', 'totalValueLockedToken0': '1695131.47431161728021922', 'token0': {'decimals': '18'}, 'token1': {'decimals': '6'}}",0.4765441895613487398084689613653633,1133041671688555856018607482263937653446288,2820099572196240004208459222210
8,1641582000,1855268650806709314,0.4792486415099884644431356269899411,0.4741553636164880424152824351954048,"{'id': '0x9b08288c3be4f62bbf8d1c20ac9c5e6f9467d8b7', 'totalValueLockedUSD': '2619036.900309908219668059680743294', 'totalValueLockedToken1': '1147630.627934', 'totalValueLockedToken0': '1695131.47431161728021922', 'token0': {'decimals': '18'}, 'token1': {'decimals': '6'}}",0.4759951655616548227990542593125789,1136155384317455418929294762322190186598428,2826774479145475899016073422118
9,1641585600,2083211728510237088,0.4782472370693287013340757796692988,0.4731651192972502143534828233577894,"{'id': '0x9b08288c3be4f62bbf8d1c20ac9c5e6f9467d8b7', 'totalValueLockedUSD': '2619036.900309908219668059680743294', 'totalValueLockedToken1': '1147630.627934', 'totalValueLockedToken0': '1695131.47431161728021922', 'token0': {'decimals': '18'}, 'token1': {'decimals': '6'}}",0.4755269626927250793084391841676077,1139484139491942722326261291179207023701567,2833893928450503432569815689165
