Date,Simulation 1,Simulation 2,Simulation 3,Simulation 4,Simulation 5,Simulation 6,Simulation 7,Simulation 8,Simulation 9,Simulation 10
2023-06-28,0.06730264,0.06730264,0.06730264,0.06730264,0.06730264,0.06730264,0.06730264,0.06730264,0.06730264,0.06730264
2023-06-29,0.06304586611652004,0.06447027711822848,0.0618665899714924,0.06361060730735224,0.06196792921797013,0.0643571408563943,0.0671274430782453,0.06203295902486144,0.06410384749190265,0.062330898106836986
2023-06-30,0.059918597838798035,0.06377591603647581,0.060851604123425745,0.06173456887531633,0.061862967222246885,0.06482056594199011,0.06578167871054402,0.06202771898220886,0.06361547345825942,0.06304413447994803
2023-07-01,0.05721743348657929,0.061878188069318274,0.06187957798075056,0.06150978765615581,0.06262567326558208,0.06401175539622611,0.06627296865953089,0.06248343503159046,0.06624282532444359,0.06334625117367224
2023-07-02,0.059828621551903535,0.06580454922098518,0.05971504253730761,0.06303443229846797,0.06242893120760391,0.06432814725974219,0.06883942678939549,0.06211522938060403,0.06483456672268165,0.06304890835908455
2023-07-03,0.06151045809653876,0.06330280886018565,0.06288361585414684,0.06199768958685586,0.06307445404688047,0.06583589315596555,0.07260212976390881,0.06391262792804088,0.06280361474635075,0.06306247870009563
2023-07-04,0.06072160834369803,0.06160716338039141,0.06500858430419772,0.06435483926393101,0.06340998102053684,0.06749385674281048,0.07132962629814192,0.06485482873176002,0.06156901972042636,0.06560200554720187
2023-07-05,0.06302983347236456,0.059548447919109244,0.06807615307000503,0.06172163037939595,0.06651040785972191,0.06646967229482724,0.0670805298037216,0.0646162253852757,0.0618561849470822,0.06599678112191236
2023-07-06,0.0671348358064418,0.06352958629796589,0.06932272888725965,0.06111848889406881,0.0671306267784421,0.06396463819178792,0.07039089709476126,0.06596439812899535,0.062202209938592046,0.06584924372295543
2023-07-07,0.07110788710276038,0.06516408836033942,0.07084558644461549,0.061559035503693536,0.06780791784797262,0.0621642945523838,0.07160404444079208,0.06399598927026942,0.06152118878229904,0.06600858655865538
2023-07-08,0.07185283463104926,0.06333108881497007,0.07169464238276602,0.06318072241108215,0.06670635739683016,0.06174312293273637,0.06752854888722432,0.0635063082980957,0.05880329592155509,0.06504513499750644
2023-07-09,0.0727038457453611,0.06137948636230914,0.07424108238584615,0.0628514113664129,0.06716571838444338,0.06052704647817824,0.0680479802977834,0.061330571719471844,0.05622374966670106,0.0658072183997315
2023-07-10,0.0749870205279339,0.06253235774428043,0.07586792220799804,0.06367749119386476,0.06665468518462797,0.06050010001853193,0.07015670263152148,0.06151812487258022,0.05910116971124256,0.06786122358650228
2023-07-11,0.07534383138916191,0.06307544199955359,0.0770888765094667,0.06212842095860251,0.06618419269691507,0.06098502253002504,0.06913364535802494,0.056643819607003126,0.06107358940252834,0.06764810004532472
2023-07-12,0.07656749518313541,0.06284561369817018,0.07464293534760334,0.060752317992140266,0.06473241970001994,0.060701264807411635,0.07514761718117381,0.05692912768294471,0.06466306827385132,0.06645722901335141
2023-07-13,0.0734320850123503,0.060802445620275494,0.07724229405601463,0.06144508760349045,0.06342160739188236,0.06103179798217027,0.07141181935986862,0.05637944686123649,0.0648729861236742,0.06682171427630731
2023-07-14,0.07405441412923815,0.06108839298113757,0.0750202809055136,0.06345034292018915,0.06565189027819018,0.06128880026476636,0.07842544141037519,0.05535777492028362,0.06729431451788292,0.06689966091550621
2023-07-15,0.07398190675069986,0.06299854053464335,0.07543255732671285,0.06342777518343881,0.06316430534291155,0.061692750420798435,0.07883808648231341,0.057347302573383885,0.06605528465768037,0.0683737957657399
2023-07-16,0.07132586968725653,0.06349779574075184,0.07271530378306017,0.0640549705400184,0.06238361984404966,0.06468255859602562,0.07897032822949962,0.059230236286308496,0.06687152926803588,0.06724440235490166
2023-07-17,0.0704022703138116,0.06092553404689715,0.07117872509643026,0.06547495792314763,0.06311520167152593,0.06507638152597804,0.0771162020764933,0.05939643955265619,0.06790818514511807,0.06782599895025966
2023-07-18,0.0690689402726767,0.06275941658279129,0.06875307519557958,0.06543764276381091,0.06327921544062597,0.06466417673963494,0.07906104852419693,0.058775702180420074,0.06359181563712002,0.0675562907532389
2023-07-19,0.06652209056034404,0.058527255585571834,0.07467720722774346,0.06403155210737595,0.06147011674063206,0.06455998414811709,0.07410687958681669,0.05788205563321471,0.062439935825311994,0.06961542890524555
2023-07-20,0.0643023956604286,0.06131050551715889,0.07513013860414483,0.06473392478879281,0.06206335586690362,0.06405574975487066,0.07250392087022317,0.0570452624614495,0.06450848041076905,0.06852034108402792
